epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,177.669,0.80283,0.94677,0.99344,0.97404,0.98112,0.99151,0.85497,0.56913,0.43745,0.84968,0.0668015,3.32317e-05,3.32317e-05
2,371.487,0.6214,0.5224,0.93133,0.98525,0.9923,0.99179,0.91223,0.41842,0.32094,0.80649,0.0335002,6.52351e-05,6.52351e-05
3,557.179,0.55088,0.45016,0.91593,0.98699,0.98626,0.99231,0.92242,0.39332,0.29191,0.80229,0.000197532,9.59064e-05,9.59064e-05
4,746.73,0.51403,0.40968,0.90446,0.98568,0.9897,0.99244,0.92762,0.38231,0.27255,0.80106,9.4006e-05,9.4006e-05,9.4006e-05
5,948.032,0.49033,0.38477,0.89969,0.98395,0.99367,0.99383,0.93076,0.37501,0.25436,0.79602,9.2008e-05,9.2008e-05,9.2008e-05
6,1227.18,0.46641,0.36761,0.89122,0.98859,0.99091,0.99357,0.93557,0.35458,0.24706,0.79499,9.001e-05,9.001e-05,9.001e-05
7,1454.31,0.45411,0.35258,0.88804,0.98823,0.99071,0.99345,0.93414,0.36478,0.24553,0.7977,8.8012e-05,8.8012e-05,8.8012e-05
8,1694.91,0.43646,0.33443,0.88118,0.98574,0.98826,0.99378,0.93867,0.34054,0.22856,0.7906,8.6014e-05,8.6014e-05,8.6014e-05
9,1899.33,0.43494,0.32865,0.88074,0.9884,0.98971,0.99411,0.94273,0.34357,0.22289,0.79045,8.4016e-05,8.4016e-05,8.4016e-05
10,2133.08,0.42044,0.31654,0.8789,0.99069,0.98943,0.9946,0.92758,0.38542,0.22823,0.79704,8.2018e-05,8.2018e-05,8.2018e-05
11,2346.72,0.41288,0.31123,0.87495,0.98462,0.99387,0.99429,0.9413,0.34859,0.21339,0.79115,8.002e-05,8.002e-05,8.002e-05
12,2574.81,0.40307,0.30089,0.87188,0.98624,0.99221,0.99469,0.9464,0.33578,0.21403,0.78825,7.8022e-05,7.8022e-05,7.8022e-05
13,2781.71,0.40099,0.29882,0.8734,0.98687,0.99638,0.99422,0.9512,0.32871,0.20078,0.79047,7.6024e-05,7.6024e-05,7.6024e-05
14,3030.7,0.39765,0.29101,0.87058,0.99112,0.99059,0.99446,0.9458,0.34915,0.21391,0.79062,7.4026e-05,7.4026e-05,7.4026e-05
15,3263.37,0.38828,0.28756,0.87021,0.98545,0.99343,0.9935,0.94517,0.33271,0.20506,0.7923,7.2028e-05,7.2028e-05,7.2028e-05
16,3497.41,0.38242,0.28286,0.86977,0.98777,0.9929,0.99443,0.95009,0.33035,0.19885,0.78753,7.003e-05,7.003e-05,7.003e-05
17,3727.4,0.37678,0.27642,0.86738,0.98844,0.98894,0.99401,0.94956,0.33152,0.20018,0.79025,6.8032e-05,6.8032e-05,6.8032e-05
18,3982.98,0.37724,0.27279,0.86848,0.99243,0.99274,0.994,0.95589,0.31654,0.19287,0.78673,6.6034e-05,6.6034e-05,6.6034e-05
19,4151.76,0.37398,0.26901,0.86656,0.98746,0.99234,0.994,0.95454,0.30953,0.1897,0.78572,6.4036e-05,6.4036e-05,6.4036e-05
20,4340.58,0.37008,0.26821,0.86282,0.98715,0.99232,0.99341,0.95473,0.31372,0.18971,0.78633,6.2038e-05,6.2038e-05,6.2038e-05
21,4540.24,0.36823,0.26438,0.86473,0.98802,0.99354,0.99344,0.95151,0.32838,0.19016,0.78902,6.004e-05,6.004e-05,6.004e-05
22,4754,0.37,0.26683,0.86538,0.99202,0.99338,0.99422,0.95519,0.32079,0.18613,0.7873,5.8042e-05,5.8042e-05,5.8042e-05
23,4982.12,0.36636,0.26043,0.86528,0.99277,0.98838,0.99318,0.95432,0.31436,0.18562,0.78603,5.6044e-05,5.6044e-05,5.6044e-05
24,5250.22,0.35792,0.25755,0.86021,0.98879,0.99447,0.9935,0.9544,0.31319,0.18404,0.78694,5.4046e-05,5.4046e-05,5.4046e-05
25,5459.27,0.36114,0.25402,0.86491,0.98649,0.99681,0.99288,0.9563,0.3117,0.18126,0.78464,5.2048e-05,5.2048e-05,5.2048e-05
26,5696.78,0.35607,0.25043,0.86315,0.98643,0.9954,0.99421,0.95866,0.31539,0.18028,0.78661,5.005e-05,5.005e-05,5.005e-05
27,5876.15,0.35145,0.24763,0.86139,0.99127,0.99383,0.99334,0.96001,0.30026,0.17343,0.78143,4.8052e-05,4.8052e-05,4.8052e-05
28,6098.74,0.34995,0.24589,0.86119,0.98954,0.99391,0.99446,0.96057,0.3038,0.17546,0.78553,4.6054e-05,4.6054e-05,4.6054e-05
29,6350.16,0.34439,0.24092,0.86104,0.98716,0.99303,0.99384,0.95403,0.30825,0.17814,0.78644,4.4056e-05,4.4056e-05,4.4056e-05
